,property_name,location,price,price_per_sqft,super_built_up_area,carpet_area,builtup_area,facing,ownership,bedrooms,bathrooms,balcony,floor,furnish_type,rating,prop_type,city,luxury_score,Study Room,Servant Room,Store Room,Pooja Room,Others,ageing,location_area
4466,81 Aureate,Bandra,240000000,56993,,4211,,West,Freehold,4,5,3,7,Unfurnished,4,Flat,Mumbai,264,0,0,0,0,0,Relatively New,Bandra
8165,Oberoi Esquire,Goregaon,240000000,87783,,2734,,West,Co-operative Society,4,4,0,21,Furnished,4.2,Flat,Mumbai,350,0,1,0,1,0,Relatively New,Goregaon
2833,Prabhu Vijay,Juhu,235000000,81034,,2900,,East,Freehold,4,5,1,5,Semifurnished,4.4,Flat,Mumbai,100,0,1,1,0,0,Old,Juhu
3576,Sheth Clarion,Thakur complex,235000000,21854,999,774,880,North-East,Co-operative Society,3,3,0,15,Unfurnished,4.1,Flat,Mumbai,310,0,0,0,0,1,Relatively Old,Kandivali
2121,Rustomjee Crown,Prabhadevi,232500000,56707,4100,3000,4000,South-West,Freehold,5,5,1,0,Semifurnished,4.3,Flat,Mumbai,370,0,1,1,0,0,New,Worli
1329,Rustomjee Elements,Andheri,230000000,135773,,1694,,West,Power of Attorney,4,4,3,5,Furnished,4.3,Flat,Mumbai,240,1,1,1,1,0,Relatively New,Andheri
2682,Rustomjee Crown,Prabhadevi,230000000,76666,3900,3000,3800,North-East,Freehold,5,4,2,35,Semifurnished,4.3,Flat,Mumbai,336,0,1,1,0,0,Relatively New,Worli
6307,on request,Seven Bunglow,230000000,35384,,6500,,East,Freehold,6,6,3,0,,4.2,House,Mumbai,102,1,1,0,1,1,Old,Bandra
1789,Imperial Heights,Goregaon,225000000,39612,,5680,,,Freehold,6,6,3,30,Furnished,4.3,Flat,Mumbai,108,1,1,1,1,0,Old,Goregaon
112,The Imperial i,Tardeo,220000000,71661,3070,,,North-East,Freehold,4,5,3,35,Furnished,4.3,Flat,Mumbai,332,0,1,0,0,0,Old,Byculla
317,SD The Imperial,Tardeo,220000000,71661,3070,,,North-East,Freehold,4,5,3,35,Furnished,4.3,Flat,Mumbai,332,0,1,0,0,0,Old,Byculla
1473,Signia Isles,Bandra Kurla Complex,220000000,69752,,2594,3154,,Co-operative Society,4,6,3,5,Semifurnished,4,Flat,Mumbai,290,0,1,1,0,0,Old,Bandra
6016,Premium Tower,Andheri,220000000,55000,,4000,5509,West,Freehold,6,6,1,0,Semifurnished,4.3,House,Mumbai,250,0,0,1,0,0,New,Andheri
244,Kalpataru Horizon,Worli,210000000,97132,,2162,,North-East,Co-operative Society,4,4,0,25,Semifurnished,3.5,Flat,Mumbai,180,1,1,1,1,0,Relatively Old,Worli
2210,Hiranandani Gardens Richmond Tower,Hiranandani Gardens Powai,210000000,52500,5000,4000,,East,Co-operative Society,5,5,2,7,Semifurnished,4,Flat,Mumbai,400,1,1,0,1,0,Relatively Old,Powai
4887,Oberoi Esquire,Goregaon,210000000,76363,,2750,3250,North-East,Freehold,6,8,0,22,Furnished,4.2,Flat,Mumbai,366,0,1,1,1,1,Relatively New,Goregaon
